isc,Voc,iMPP,VMPP,iMPPx,iOCx,FF,PCE,iaug_MPP,irad_MPP,isrh_MPP,isII_MPP,isIII_MPP,iaug_OC,irad_OC,isrh_OC,isII_OC,isIII_OC
212.5712,0.716678907198481,190.9835,0.4,-0.489915999999994,-0.0164045159999999,0.501449026309638,7.63934,0.001631839,0.02937249,0.0005782488,0.07583954,21.48131,0.0217185356,0.24267164,0.00477719964,0.609232272,211.699096
257.2212,0.878715131742799,220.467528,0.464,-0.476147999999995,-0.70538656,0.452592911749164,10.2296932992,0.00495564468,0.00235631028,7.46294952e-05,36.7467232,4.39992708e-07,0.373596539999999,0.124944436,0.00395593876,256.907644,0.0124726636
160.2573,0.706655803177118,133.17334,0.504,-0.26464,-2.43236759999999,0.592682463203226,6.711936336,0.0226762348,0.0105300496,2.66178044,0.0442514516,24.6181008,0.179286332,0.0298875484,4.38665576,57.6582163999997,99.1138471999999
324.5006,0.67333530803969,289.4845,0.525,-0.592683999999991,-3.29622004,0.695565008367504,15.19793625,20.32171,14.48867,0.003906463,0.2549054,0.01524156,247.814328,74.5226664,0.0195538456,4.33762052,0.0659785832
357.8238,0.829800446655455,340.8489,0.725,-0.494055999999944,-11.3234484,0.832256154779293,24.71154525,0.00805003199999997,0.00351709599999999,0.0355118299999999,8.60697099999996,8.32154499999997,0.222286399999999,0.0273936659999999,0.18549672,279.716799999999,79.9314839999997
274.4537,0.845928894721129,226.4472,0.4,-0.59311799999999,-0.00504841279999997,0.39014315955934,9.057888,22.17772,0.0307944,0.104168,25.88671,0.001708412,56.92591,0.0527316684,0.178368276,217.488708,0.00289686292
304.3635,1.03074162403497,223.157452,0.444,-0.503091999999995,-1.41150064000016e-05,0.315828981803065,9.9081908688,0.00169642748,0.00332421784,0.899442832,80.7868796,0.000590840604,0.0178155508,0.0153091672,2.83644616,301.852588,0.127215036
215.0175,1.08036362229114,207.6907,0.825,-0.244281999999984,-0.0371582280000002,0.737610751271131,17.13448275,0.0403689399999999,6.16872599999999,0.0425794299999999,0.328147399999999,0.746927899999998,5.52823952,176.861472,1.21552172,9.42045,22.01546
216.309,0.770964962316621,198.71316,0.498,-0.39927999999999,-0.0075812204,0.593398906351996,9.895915368,6.73752292,0.1392772744,0.0354063452,10.59402752,0.0908331668,108.602976,0.896338696,0.089979042,106.213084,0.509782864
271.5998,0.768336451830756,159.61818,0.352,-0.45411,-0.78591268,0.269242822430008,5.618559936,0.1186858072,0.1291460568,0.00222227616,2.223093864e-05,112.4830304,2.86418884,0.67938054,0.0116842276,22.9459291999999,246.371524
