isc,Voc,iMPP,VMPP,iMPPx,iOCx,FF,PCE,iaug_MPP,irad_MPP,isrh_MPP,isII_MPP,isIII_MPP,iaug_OC,irad_OC,isrh_OC,isII_OC,isIII_OC
299.1166,0.7743887613711,167.4233,0.575,-0.296571999999998,-2.55175079999995,0.415608274431218,9.62683975,1.568094,0.05549223,0.04480261,146.305,4.57360100000003e-05,42.1128099999999,0.483409499999999,0.1447988,273.9272,0.0327230899999999
315.0454,0.643734801100752,302.4061,0.3,-0.618061999999952,-0.00809861280000001,0.447333755460218,9.072183,0.006620376,0.7497793,0.2712847,0.02293826,11.65876,1.58394372,17.5895604,5.23183652,0.936966076,289.775316
252.7374,1.08955343336547,207.549944,0.453,-0.458252000000002,-0.0010771472,0.341430862810538,9.4020124632,0.968506296,43.6551544,0.656451388,2.61084028e-08,0.00711666624,17.056728,234.70888,1.0440634,0.0087283316,0.019247654
314.9967,0.699392914966758,269.1352,0.42,-0.640140000000002,-1.69348839999981,0.513088830387421,11.3036784,0.0002274129,0.0025480662,0.000110963974,45.860608,3.0406578e-05,0.01821512,0.1577762,0.00292531,315.6495,0.07821049
217.0438,0.845271024872338,196.617932,0.641,-0.306948000000006,-0.334022479999998,0.686970024025911,12.6032094412,0.0115789022,1.76934316,0.169556568,17.0024264,1.473582,0.36372308,21.4091872,1.31327524,123.245656,70.9561864
152.1475,0.678170613763453,90.3415761,0.377,-0.240110700000002,-0.959365040000004,0.330084571454233,3.40587741897,5.53669599e-05,0.436052033,2.48252577,60.0686818,0.0004368654521,0.00262724612,4.36699776,7.45331868,134.293472,8.0086228
301.7132,0.886122503185258,229.478708,0.433,-0.530624000000003,-0.00982652,0.371656913363043,9.9364280564,0.16260878,0.109962072,0.0928413232,71.9442024,0.06088427,0.605912936,0.222403184,0.153571892,218.797416,82.0785388
134.6135,0.943927977873085,120.4434,0.475,-0.343358000000002,-1.43142232e-05,0.450245251703306,5.7210615,0.001625981,0.01011865,0.02409348,10.39762,3.869277,0.0101322556,0.035001406,0.0785733252,122.941888,11.6807348
277.7198,0.916736581264594,210.57,0.4,-0.544066499999985,-1.11270992000001,0.330830150837103,8.4228,0.004654826,0.002757154,6.719856,60.87921,1.836797e-06,0.0585366496,0.00990847036,19.8028608,226.870652,31.7275648
278.2355,0.674890957684885,223.9458,0.425,-0.572524000000001,-0.345630140000001,0.506857295311741,9.5176965,34.12355,2.297359,13.69527,5.011951,0.5886618,116.7119,4.65682,17.59389,138.8571,1.889361
293.0814,0.993880847173711,264.73654,0.47,-0.562848000000002,-7.5013848e-05,0.427158612847445,12.44261738,0.2991676,1.15246256,0.00692214360000001,3.9041356e-05,26.904556,25.3240692,23.3939748,0.0229917992,0.00417974584,244.354412
282.7089,0.729438352055794,157.566341,0.331,-0.476789000000011,-0.378625440000002,0.252908467069349,5.2154458871,7.22403388e-05,37.9674788,0.0198975506,119.779171,0.0001558345362,0.00101682168,124.23338,0.037206558,187.54962,3.72458239999999
278.2753,0.527852123962647,246.2598,0.45,-0.731279999999998,-12.672398,0.754430266354821,11.081691,0.0005513467,22.03905,0.006268621,10.05776,0.002745292,0.00297915576,65.3457652,0.0185640156,214.864128,0.00723289808
247.9181,0.920082440464632,117.499576,0.464,-0.252715999999999,-0.0977437480000008,0.239011778073311,5.4519803264,3.2424026,0.292953988,0.0126167964,0.00157649776,228.8923,42.25001,1.41480408,0.058313826,33.2056748,273.102284
314.6722,0.970554343142482,291.8013,0.8,-0.351485999999994,-4.50414880000002,0.764361801871608,23.344104,0.00907240599999999,0.000414494,0.0040413,1.292372,21.56509,0.0286734264,0.000638482124,0.00619500344,157.3917128,159.252308
176.52,0.917286778497474,166.76,0.65,-0.283172000000008,-1.08987976000001,0.669431571518124,10.8394,0.04867701,0.4675738,0.1664105,0.0002969233,9.079702,1.115464848,5.13622892,0.275013552,2.57931944,168.19402
271.4404,0.860023283767755,222.426884,0.471,-0.472195999999997,-0.00262259960000001,0.448769661261016,10.4763062364,47.2978468,0.470462992,1.39729896,0.000445187116,0.0346455744,264.828152,1.35588088,3.99756152,0.00187076404,1.44666444
299.8063,0.627178675961184,234.1871,0.4,-0.656496000000004,-2.1212792,0.498185314601919,9.367484,17.08077,0.1847065,0.49037,48.02988,0.002858927,89.9465624,0.352534488,0.624293044,207.196208,3.59840368
183.8875,0.813857488537327,166.6428,0.7,-0.197323999999981,-4.72542480000002,0.779442391063729,11.664996,1.692275e-05,12.5062,2.241553,2.498004,0.001420102,5.15042304e-05,22.6397404,3.0058196,158.9152284,0.00261337616
186.1031,0.972168952606135,176.3172,0.75,-0.230860000000007,-2.14581360000001,0.730904421605522,13.22379,1.525482,0.2565523,4.02363699999999e-07,7.92290599999998,0.0827943799999998,34.5787732,2.639768,4.13779296e-06,66.88975,83.7799484
345.6999,0.873829723866226,294.4828,0.5,-0.703414000000009,-0.0111836084000001,0.487420589742293,14.72414,0.0001412001,35.14075,0.006536563,16.23048,0.0001957661,0.000466619716,69.068518,0.0126923776,276.780748,0.000380781828
317.6636,0.840443097746081,284.8156,0.65,-0.453625999999986,-1.46211079999999,0.693427979704353,18.513014,8.261096,0.04855545,0.007941576,0.970327,23.64751,152.560432,0.296366004,0.0376726968,37.199108,128.471784
232.2895,1.01966830969978,217.8592,0.925,-0.330456000000012,-5.9370684,0.850803241831175,20.151976,0.185972,3.777061,0.000117713,6.665513,3.802916,5.48618060000002,36.2179360000001,0.00112818568,50.9661140000001,141.58847
303.4583,0.538839542325002,256.6739,0.3,-0.686590999999993,-1.952652,0.470917126240558,7.700217,2.414766e-05,2.27524,7.132841e-05,0.03228416,44.71771,0.000259498612,15.52592,0.000491684336,53.749602,234.73628
