isc,Voc,iMPP,VMPP,iMPPx,iOCx,FF,PCE,iaug_MPP,irad_MPP,isrh_MPP,isII_MPP,isIII_MPP,iaug_OC,irad_OC,isrh_OC,isII_OC,isIII_OC
155.6602,0.717645487872684,148.6361,0.55,-0.214011999999983,-1.66328639999999,0.731811868018655,8.1749855,0.0001607272,0.0005819513,3.374238e-06,6.431103,0.592978,0.00110535344,0.001569294,9.07927980000001e-06,110.9608052,45.2868467999998
225.0409,0.583350069728863,140.84468,0.271,-0.51952,-0.0078085312,0.290749534547372,3.816890828,0.1413513408,0.233461642,0.453387275,149.652518,9.101072638,0.467820068,0.497951216,0.96145028,228.677052,69.8272132
135.8721,1.09992066092355,83.73348,0.418,-0.200389999999999,-0.00382056599999985,0.234198319864739,3.500059464,0.01057428404,0.0169818544,66.8877044,0.0009005456,0.0709716852,0.1208324,0.04823529,125.4078,13.9069,11.23709
138.2944,1.07953470514749,131.4048,0.975,-0.170022000000017,-5.43167840000003,0.858172596053788,12.811968,0.003599144,0.0006603794,4.664934,1.973154,0.2477363,0.188485999999999,0.00965811359999997,61.7569079999998,73.8053279999997,5.06180479999998
294.1686,1.21323020686075,256.9752,0.625,-0.397492,-0.0010924644,0.450019882239341,16.06095,0.01349174,29.94709,0.08452188,0.0105534,7.180612,0.134736648,132.343992,0.420468912,50.1208596,111.192312
320.4557,1.01217194646715,187.637232,0.567,-0.33150400000001,-1.44174639999984,0.328004483054514,10.6390310544,86.6735248,0.0150769528,0.275662332,6.22343060000001e-06,48.8159696,252.676584,0.0386467076,0.335486392,3.5709476,67.9896932
139.0888,1.31860322551635,123.5955,0.775,-0.179834000000007,-0.0380292599999999,0.522273592432185,9.57865125,0.0728392999999999,0.04466075,12.23622,3.32467699999999,3.425033e-10,0.338571592,0.225146236,76.6144136,62.1107028,0.000134640184
355.8941,0.842816975306834,281.6115,0.3,-1.05195599999999,-0.000901580639999997,0.281655073080476,8.448345,0.0001457496,0.6819195,6.457157e-06,0.007422335,73.97433,0.01263359,2.71879116,2.57656924e-05,23.3685544,330.17544
179.0982,0.752569433132612,161.0601,0.4,-0.296896499999988,-0.167204468,0.477980478772272,6.442404,0.00559927,0.0006950578,0.02965096,17.99396,0.0108936,0.0422258808,0.00168197044,0.069232816,150.156764,28.9029648
136.0141,0.571675594421811,104.3434765,0.249,-0.420551499999995,-0.0313412120000001,0.334141998131988,2.59815256485,9.27313882e-07,5.97788886e-06,3.40443617e-06,1.958598284,29.8175814,8.83389776e-06,1.64102316e-05,9.10026648e-06,30.0643892,106.06544
